epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,124.123,1.59754,2.40877,3.02724,1.6133,0,0.00513,0.70175,0.16599,0.06066,0.00218,0.29825,0.02956,0.00558,1.49407,1.38034,3.21731,1.64308,0,0.00165049,0.00165049,0.0686408
2,254.377,1.27532,1.6084,2.56598,1.38132,0,0.34893,0.38596,0.29534,0.13673,0.2595,0.29825,0.13678,0.02759,1.65052,1.2099,2.87347,1.79342,0,0.00319216,0.00319216,0.0368491
3,383.982,1.30699,1.46927,2.16738,1.35795,0,0.28956,0.4386,0.20861,0.11132,0.17892,0.31579,0.10243,0.02127,1.56314,1.09155,2.87489,1.70046,0,0.00426125,0.00426125,0.00458488
4,519.246,1.25718,1.41078,2.03657,1.31739,0,0.32183,0.33333,0.24846,0.12706,0.20179,0.21292,0.10684,0.0183,1.48488,1.02069,2.60588,1.5955,0,0.00347214,0.00347214,0.00347214
5,660.603,1.20567,1.35418,2.03193,1.29854,0,0.45141,0.40422,0.33957,0.16916,0.25303,0.36842,0.1288,0.02431,1.45084,0.96245,2.47234,1.55661,0,0.002525,0.002525,0.002525
6,808.087,1.1756,1.2932,1.90682,1.31837,0,0.55714,0.37531,0.39085,0.20376,0.37447,0.29825,0.20782,0.03395,1.42087,0.95778,2.4127,1.52399,0,0.00157786,0.00157786,0.00157786
7,966.592,1.21163,1.32296,1.97618,1.30694,0,0.65626,0.42105,0.43179,0.2117,0.35807,0.26316,0.21501,0.03862,1.34634,0.94847,2.34756,1.43755,0,0.000774911,0.000774911,0.000774911
8,1095.57,1.13593,1.30788,1.87259,1.24831,0,0.56478,0.40351,0.42317,0.21726,0.36833,0.26316,0.20672,0.03987,1.36953,0.94972,2.35307,1.47103,0,0.000238398,0.000238398,0.000238398
