epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,661.817,2.40506,2.15056,5.27732,2.42286,0,0.00449,0.61404,0.07489,0.01197,0.00167,0.22807,0.02521,0.00485,2.81025,1.14671,4.85455,2.75798,0,0.00165854,0.00165854,0.0684878
2,1298.89,1.97631,1.5126,3.73568,2.08067,0,0.17226,0.24561,0.10123,0.02678,0.03941,0.24561,0.02204,0.00431,2.60537,0.96881,4.13266,2.67338,0,0.00326912,0.00326912,0.0367651
3,1912.8,2.98893,1.0069,5.37213,2.5594,0,0.32229,0.17544,0.16494,0.03548,0.15113,0.07018,0.03474,0.00566,2.56427,0.89706,3.77622,3.05829,0,0.00466082,0.00466082,0.00482342
4,2549.86,2.73222,0.93819,4.56637,2.4225,0,0.2618,0.19298,0.15616,0.03469,0.08704,0.05263,0.02026,0.00362,2.64056,0.92351,3.88094,2.47295,0,0.00427509,0.00427509,0.00427509
5,3192.05,2.63973,0.92076,4.30289,2.29266,0,0.08246,0.10526,0.06791,0.01465,0.00333,0.45614,0.01261,0.00277,2.74674,0.88242,3.85431,2.36572,0,0.0037625,0.0037625,0.0037625
6,3806.86,2.55043,0.91005,4.19032,2.16223,0,0.16562,0.21053,0.11878,0.02896,0.05559,0.12281,0.02436,0.00418,2.50991,0.87209,3.49782,2.20701,0,0.00316558,0.00316558,0.00316558
7,4387.23,2.55853,0.83789,3.92272,2.16245,0,0.20845,0.2807,0.13869,0.02996,0.08192,0.05263,0.02956,0.00486,2.49524,0.84797,3.55702,2.29101,0,0.002525,0.002525,0.002525
