epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2942,1.33758,1.76338,2.5505,1.19926,0,0.64749,0.18841,0.34458,0.20401,0.62503,0.16927,0.33538,0.10505,1.03875,1.004,2.66874,1.01769,0,0.00329167,0.00329167,0.070375
2,127.873,1.21739,1.2388,1.67246,1.09817,0,0.6153,0.52174,0.52811,0.30375,0.53342,0.46377,0.43569,0.11355,1.14822,1.08523,2.12762,1.02599,0,0.00498531,0.00498531,0.0387353
3,180.434,1.16445,1.21611,1.57303,1.08712,0,0.44656,0.60809,0.5007,0.3273,0.40238,0.53623,0.4129,0.14231,0.99481,0.86727,1.95403,0.98767,0,0.00256427,0.00256427,0.00298094
