pixel_accuracy,precision,recall,f1,dice,iou,specificity,false_negative_rate,false_positive_rate,tp,fp,tn,fn,mean_per_image_dice,mean_per_image_iou,mean_skeleton_iou,threshold
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.05
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.1
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.15
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.2
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.25
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.3
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.35
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.39999999999999997
0.024836297257408695,0.024836297257408695,0.9999999999996712,0.048468804043013215,0.04846880877243275,0.024836297257408695,0.0,0.0,0.9999999999999916,304103.0,11940194.0,0.0,0.0,0.0243343313698283,0.012470630130910286,0.0001642385129648641,0.44999999999999996
0.28036954673673564,0.0273977412240496,0.8108831547203379,0.05300458186086006,0.05300458818387027,0.027223786898618492,0.2668579756744298,0.18911684527933328,0.7331420243255617,246592.0,8753858.0,3186336.0,57511.0,0.02664988224390181,0.013689771931881417,0.0016305720164821386,0.49999999999999994
0.9733912040846364,0.0,0.0,0.0,0.0,0.0,0.9981823578410786,0.9999999999996712,0.0018176421589129806,0.0,21703.0,11918491.0,304103.0,0.0,0.0,0.0,0.5499999999999999
0.9747364834420386,0.0,0.0,0.0,0.0,0.0,0.9995618999155206,0.9999999999996712,0.0004381000844709856,0.0,5231.0,11934963.0,304103.0,0.0,0.0,0.0,0.6
0.9751485119970467,0.0,0.0,0.0,0.0,0.0,0.9999844223636483,0.9999999999996712,1.5577636343261962e-05,0.0,186.0,11940008.0,304103.0,0.0,0.0,0.0,0.65
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.7
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.75
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.7999999999999999
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.85
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.9
0.9751637027425831,0.0,0.0,0.0,0.0,0.0,0.9999999999999916,0.9999999999996712,0.0,0.0,0.0,11940194.0,304103.0,0.0,0.0,0.0,0.95
