epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,52484.6,1.0195,1.18418,0.89253,1.07218,0,0.60344,0.63956,0.60894,0.40642,0.43182,0.50725,0.34664,0.09883,1.09418,0.81996,1.49945,1.29288,0,0.00084759,0.00084759,0.00084759
29,52724.5,1.03873,1.16324,0.93318,1.10618,0,0.71049,0.66667,0.70349,0.44562,0.39164,0.42029,0.27459,0.07678,1.0666,0.86537,1.20903,1.31792,0,0.000836841,0.000836841,0.000836841
30,53027.2,0.9982,1.17384,0.9421,1.07401,0,0.56754,0.62319,0.61745,0.45027,0.39718,0.43478,0.32044,0.09245,1.04667,0.82809,1.26132,1.28652,0,0.000825808,0.000825808,0.000825808
31,53395.6,0.95669,1.11454,0.8898,1.05239,0,0.65293,0.65217,0.68122,0.48773,0.4146,0.47826,0.35027,0.09497,1.02596,0.83341,1.22665,1.29637,0,0.000814503,0.000814503,0.000814503
32,53737.7,0.94659,1.19577,0.89248,1.04587,0,0.68638,0.57971,0.63574,0.40864,0.51087,0.4058,0.33981,0.08043,1.01736,0.87762,1.24443,1.29211,0,0.000802938,0.000802938,0.000802938
33,54080.7,1.00356,1.19472,0.91053,1.08387,0,0.77181,0.73531,0.79012,0.56427,0.60646,0.46908,0.44849,0.10486,1.00723,0.88175,1.0063,1.23423,0,0.000791122,0.000791122,0.000791122
34,54407.3,0.97454,1.19668,0.89743,1.06586,0,0.60085,0.69814,0.6716,0.45251,0.52189,0.37681,0.37548,0.09664,1.17142,0.98481,1.22363,1.38955,0,0.000779069,0.000779069,0.000779069
35,54718.5,0.91954,1.13847,0.81165,1.05695,0,0.62003,0.68587,0.71016,0.48708,0.43704,0.44928,0.36485,0.10156,1.00748,0.82261,1.12107,1.26774,0,0.000766789,0.000766789,0.000766789
36,55024.2,0.94128,1.15338,0.86356,1.0439,0,0.66578,0.66667,0.67043,0.44505,0.49646,0.49275,0.38506,0.10773,1.16324,0.83737,1.28756,1.4355,0,0.000754296,0.000754296,0.000754296
37,55329.6,0.94011,1.16829,0.87079,1.04321,0,0.69638,0.65217,0.68342,0.4776,0.54743,0.49275,0.42148,0.12655,0.97507,0.87217,1.22413,1.25492,0,0.000741601,0.000741601,0.000741601
